sample, max_time_ms, sensor_time_ms, raw, smoothed, frequency
0,3,4969000,3006,3004.87939453125,714.042506862331
1,16,4969010,3020,3006.089111328125,715.5137840477196
2,21,4969020,3000,3005.60205078125,714.921413112331
3,27,4969030,3004,3005.473876953125,714.7655260240709
4,36,4969040,3002,3005.196044921875,714.4276222022804
5,46,4969050,3004,3005.100341796875,714.3112265097128
6,56,4969060,3005,3005.09228515625,714.3014278927365
7,65,4969070,3001,3004.764892578125,713.903247730152
8,87,4969080,3003,3004.623779296875,713.7316234691723
9,102,4969090,2989,3003.373779296875,712.211353198902
10,107,4969100,3016,3004.3837890625,713.4397434543919
11,113,4969110,3017,3005.39306640625,714.6672429265203
12,118,4969120,3003,3005.20166015625,714.4344515413851
13,127,4969130,3004,3005.10546875,714.3174619932432
14,135,4969140,3017,3006.05712890625,715.4748865076014
15,147,4969150,3003,3005.8125,715.1773648648649
16,156,4969160,3004,3005.66748046875,715.0009897592905
17,167,4969170,3003,3005.4541015625,714.7414748733108
18,176,4969180,3004,3005.337890625,714.6001372466217
19,197,4969190,3004,3005.23095703125,714.4700828758446
20,207,4969200,3007,3005.37255859375,714.6423009923986
21,215,4969210,3003,3005.182861328125,714.4115881017736
22,221,4969220,2987,3003.728271484375,712.6424923458615
23,227,4969230,3007,3003.989990234375,712.9607989336994
24,234,4969240,3015,3004.870849609375,714.0321143897804
25,245,4969250,3004,3004.80126953125,713.9474899704392
26,257,4969260,3002,3004.5771484375,713.6749102618244
27,268,4969270,3002,3004.370849609375,713.4240062816723
28,275,4969280,3019,3005.541259765625,714.8474780933277
29,288,4969290,3007,3005.657958984375,714.9894095755913
30,296,4969300,3003,3005.4453125,714.730785472973
31,310,4969310,3004,3005.32958984375,714.5900417018581
32,316,4969320,3017,3006.26318359375,715.7254935599663
33,326,4969330,3005,3006.162109375,715.602565456081
34,337,4969340,3017,3007.029052734375,716.656956028294
35,347,4969350,3007,3007.026611328125,716.6539867504223
36,368,4969360,3003,3006.70458984375,716.2623389991554
37,371,4969370,3014,3007.288330078125,716.9722933382601
38,386,4969380,3005,3007.105224609375,716.7495974978885
39,395,4969390,3003,3006.77685546875,716.3502296241554
40,397,4969400,3014,3007.354736328125,717.0530576963682
41,408,4969410,3002,3006.92626953125,716.5319494298986
42,415,4969420,3003,3006.612060546875,716.1498033678209
43,426,4969430,3003,3006.322998046875,715.7982408678209
44,436,4969440,3022,3007.5771484375,717.323558910473
45,444,4969450,3002,3007.130859375,716.7807749155405
46,455,4969460,3016,3007.84033203125,717.6436470650337
47,469,4969470,3017,3008.572998046875,718.5347273543074
48,475,4969480,3017,3009.2470703125,719.3545449746622
49,485,4969490,3016,3009.787353515625,720.011646167652
50,499,4969500,3016,3010.284423828125,720.6161911423142
51,507,4969511,3005,3009.861572265625,720.1019122149494
52,516,4969521,3016,3010.3525390625,720.6990339949324
53,534,4969531,3004,3009.84423828125,720.0808303420608
54,541,4969541,3006,3009.53662109375,719.7067013302365
55,547,4969551,3003,3009.013671875,719.0706820101351
56,557,4969561,3003,3008.532470703125,718.4854373416385
57,575,4969571,3002,3008.009765625,717.8497149493244
58,584,4969581,3005,3007.76904296875,717.5569441511824
59,589,4969591,3015,3008.347412109375,718.2603660789696
60,603,4969601,3018,3009.11962890625,719.1995486697635
61,615,4969611,3017,3009.75,719.9662162162163
62,627,4969621,3002,3009.1298828125,719.2120196368244
63,633,4969631,3002,3008.5595703125,718.5183963260135
64,657,4969641,3004,3008.19482421875,718.0747862119932
65,665,4969651,3016,3008.8193359375,718.8343274915541
66,688,4969661,3001,3008.19384765625,718.0735985008446
67,698,4969671,3003,3007.7783203125,717.5682274070946
68,733,4969681,3006,3007.635986328125,717.3951185071791
69,744,4969691,3014,3008.14501953125,718.0142129434122
70,749,4969701,3004,3007.8134765625,717.6109850084459
71,760,4969711,3005,3007.58837890625,717.3372175886824
72,786,4969721,3006,3007.46142578125,717.1828151393581
73,794,4969731,3004,3007.1845703125,716.8460990287163
74,814,4969741,3008,3007.249755859375,716.9253787478885
75,849,4969751,3018,3008.10986328125,717.9714553420608
76,852,4969761,3000,3007.461181640625,717.1825182115709
77,855,4969771,3015,3008.064208984375,717.9159298458615
78,858,4969781,3016,3008.698974609375,718.6879420924831
79,861,4969791,3005,3008.403076171875,718.3280656144426
80,863,4969801,3000,3007.73095703125,717.5106234163851
81,866,4969811,3003,3007.3525390625,717.0503853462837
82,869,4969821,3004,3007.084228515625,716.7240617081926
83,872,4969831,2989,3005.637451171875,714.9644676414696
84,874,4969841,3003,3005.426513671875,714.7079220333615
85,877,4969851,3001,3005.072509765625,714.2773767419764
86,880,4969861,3017,3006.026611328125,715.437770534206
87,883,4969871,3017,3006.904541015625,716.5055228568413
88,886,4969881,3005,3006.752197265625,716.320239917652
89,889,4969891,3002,3006.3720703125,715.8579233530405
90,897,4969901,3019,3007.38232421875,717.0866105363176
91,926,4969911,3004,3007.11181640625,716.7576145481419
92,940,4969921,3006,3007.02294921875,716.6495328336149
93,955,4969931,3015,3007.6611328125,717.4257020692568
94,987,4969941,2987,3006.00830078125,715.415500950169
95,995,4969951,3005,3005.927734375,715.3175147804054
96,1006,4969961,3001,3005.533447265625,714.8379764041385
97,1017,4969971,3018,3006.53076171875,716.0509264146959
98,1029,4969981,3003,3006.248291015625,715.7073809649494
99,1036,4969991,3004,3006.068359375,715.4885451858108
100,1041,4970001,3017,3006.94287109375,716.5521405194256
101,1046,4970011,3005,3006.787353515625,716.3629975190033
102,1068,4970021,2991,3005.5244140625,714.8269900760135
103,1075,4970031,3018,3006.5224609375,716.0408308699324
104,1081,4970041,3018,3007.440673828125,717.1575762774494
105,1101,4970051,2992,3006.205322265625,715.6551216744087
106,1110,4970061,3016,3006.989013671875,716.6082598711994
107,1119,4970071,3002,3006.58984375,716.1227829391892
108,1125,4970081,3016,3007.3427734375,717.0385082347973
109,1147,4970091,3004,3007.075439453125,716.7133723078547
110,1150,4970101,3004,3006.829345703125,716.4140690983953
111,1155,4970111,2999,3006.202880859375,715.6521523965372
112,1184,4970121,3019,3007.2265625,716.8971706081081
113,1189,4970131,3006,3007.12841796875,716.777805637669
114,1193,4970141,3004,3006.878173828125,716.4734546558277
115,1196,4970151,3015,3007.52783203125,717.2635794974663
116,1199,4970161,3006,3007.405517578125,717.114818676098
117,1203,4970171,3002,3006.97314453125,716.5889595650337
118,1206,4970181,3018,3007.855224609375,717.6617596600506
119,1212,4970191,2989,3006.346923828125,715.8273397909628
120,1217,4970201,3004,3006.1591796875,715.5990023226351
121,1230,4970211,2989,3004.786376953125,713.9293773754223
122,1236,4970221,3006,3004.883544921875,714.0475546347128
123,1245,4970231,3007,3005.052978515625,714.2536225190033
124,1250,4970241,3019,3006.168701171875,715.6105825063345
