sample, max_time_ms, sensor_time_ms, raw, smoothed, frequency
0,1,4964528,3004,3008.31396484375,718.2196869721283
1,11,4964538,3004,3007.96875,717.799831081081
2,21,4964548,3002,3007.4912109375,717.2190403293919
3,31,4964558,3004,3007.2119140625,716.8793549408783
4,41,4964568,3004,3006.955078125,716.5669869087837
5,85,4964578,3019,3007.918701171875,717.7389608847128
6,260,4964588,3006,3007.76513671875,717.5521933065878
7,265,4964598,3016,3008.423828125,718.3533044763514
8,269,4964608,2985,3006.5498046875,716.0740867820946
9,273,4964618,3002,3006.185791015625,715.6313674514358
10,277,4964628,3002,3005.850830078125,715.2239825274494
11,281,4964638,3006,3005.86279296875,715.2385319890203
12,286,4964648,3004,3005.7138671875,715.0574060388514
13,289,4964658,3017,3006.61669921875,716.155444995777
14,293,4964668,3016,3007.367431640625,717.0684979413006
15,297,4964678,3006,3007.258056640625,716.935474292652
16,300,4964688,3001,3006.75732421875,716.3264754011824
17,304,4964698,3016,3007.496826171875,717.2258696684967
18,308,4964708,3007,3007.45703125,717.1774704391892
19,312,4964718,3001,3006.9404296875,716.5491712415541
20,316,4964728,3006,3006.865234375,716.4577174831081
21,321,4964738,3016,3007.595947265625,717.3464223500845
22,327,4964748,3015,3008.188232421875,718.0667691617399
23,332,4964758,3003,3007.773193359375,717.5619919235642
24,337,4964768,3002,3007.311279296875,717.0002045502533
25,341,4964778,3014,3007.846435546875,717.6510702597128
26,346,4964788,3017,3008.57861328125,718.5415566934122
27,351,4964798,3018,3009.332275390625,719.4581727723818
28,355,4964808,3019,3010.105712890625,720.3988400021115
29,360,4964818,3019,3010.817138671875,721.264087573902
30,364,4964828,3002,3010.11181640625,720.4062631967905
31,369,4964838,3003,3009.54296875,719.7144214527027
32,373,4964848,3016,3010.0595703125,720.3427206503378
33,378,4964858,3016,3010.534912109375,720.9208390519426
34,382,4964868,3007,3010.252197265625,720.5769966744087
35,386,4964878,3018,3010.8720703125,721.3308963260135
36,392,4964888,3001,3010.082275390625,720.370334934544
37,397,4964898,3005,3009.67578125,719.875950168919
38,402,4964908,3016,3010.181640625,720.491184543919
39,406,4964918,3016,3010.647216796875,721.0574258340372
40,410,4964928,3016,3011.075439453125,721.5782371727196
41,425,4964938,3006,3010.66943359375,721.084446262669
42,429,4964948,3002,3009.975830078125,720.2408744193413
43,432,4964958,3001,3009.2578125,719.3676097972973
44,444,4964968,3001,3008.59716796875,718.5641232052365
45,451,4964978,3003,3008.1494140625,718.019557643581
46,461,4964988,3014,3008.617431640625,718.5887682115709
47,471,4964998,3020,3009.528076171875,719.6963088576858
48,481,4965008,3002,3008.92578125,718.9637880067568
49,491,4965018,3004,3008.53173828125,718.484546558277
50,501,4965028,3002,3008.00927734375,717.84912109375
51,513,4965038,3003,3007.608642578125,717.3618625950169
52,521,4965048,3004,3007.320068359375,717.0108939505913
53,532,4965058,3002,3006.89453125,716.4933488175676
54,541,4965068,3006,3006.822998046875,716.4063489759291
55,551,4965078,3005,3006.67724609375,716.2290830869932
56,562,4965088,3018,3007.5830078125,717.3306851773649
57,572,4965098,3001,3007.056396484375,716.690211940456
58,581,4965108,3006,3006.971923828125,716.587474926098
59,591,4965118,3008,3007.05419921875,716.6875395903717
60,601,4965128,3017,3007.849853515625,717.6552272487331
61,611,4965138,3015,3008.421875,718.3509290540541
62,621,4965148,3018,3009.188232421875,719.282985377956
63,632,4965158,3016,3009.733154296875,719.945728198902
64,642,4965168,3019,3010.474609375,720.8474978885135
65,665,4965178,3006,3010.11669921875,720.4122017525337
66,668,4965188,3008,3009.947265625,720.2061338682432
67,676,4965198,3017,3010.511474609375,720.892333984375
68,681,4965208,3016,3010.950439453125,721.4262101456926
69,692,4965218,3003,3010.314453125,720.6527132601351
70,703,4965228,3001,3009.5693359375,719.7464896537163
71,714,4965238,3015,3010.00390625,720.2750211148649
72,725,4965248,3015,3010.403564453125,720.7610919024494
73,732,4965258,3014,3010.691162109375,721.1108728357264
74,741,4965268,3007,3010.395751953125,720.7515902132601
75,751,4965278,3004,3009.884033203125,720.1292295713682
76,762,4965288,3007,3009.6533203125,719.8486328125
77,775,4965298,3002,3009.041015625,719.1039379222973
78,784,4965308,3004,3008.6376953125,718.6134132179054
79,927,4965318,3018,3009.38671875,719.524387668919
80,932,4965328,3003,3008.875732421875,718.9029178103885
81,936,4965338,3015,3009.36572265625,719.498851879223
82,940,4965348,3005,3009.016357421875,719.073948215794
83,944,4965358,3005,3008.695068359375,718.6831912478885
84,948,4965368,3005,3008.3994140625,718.3236116976351
85,951,4965378,3004,3008.04736328125,717.8954418285473
86,954,4965388,3003,3007.6435546875,717.404323268581
87,957,4965398,3003,3007.27197265625,716.9523991765203
88,960,4965408,3016,3007.97021484375,717.8016126478041
89,963,4965418,3006,3007.8125,717.6097972972973
90,966,4965428,3015,3008.387451171875,718.3090622360642
91,969,4965438,3014,3008.83642578125,718.8551124366554
92,972,4965448,3018,3009.569580078125,719.7467865815033
93,975,4965458,3014,3009.924072265625,720.1779257284628
94,978,4965468,3004,3009.4501953125,719.601588893581
95,981,4965478,3006,3009.174072265625,719.2657635663006
96,984,4965488,3001,3008.520263671875,718.4705909522804
97,988,4965498,3021,3009.5185546875,719.6847286739865
98,993,4965509,3006,3009.237060546875,719.3423709353885
99,996,4965519,3006,3008.97802734375,719.0273305532095
100,1009,4965529,3001,3008.33984375,718.2511613175676
101,1014,4965539,3018,3009.112548828125,719.1909377639358
102,1028,4965549,3014,3009.503662109375,719.6666160789696
103,1034,4965559,3002,3008.9033203125,718.9364706503378
104,1046,4965569,3005,3008.591064453125,718.5567000105574
105,1053,4965579,3003,3008.143798828125,718.0127283044764
106,1064,4965589,3013,3008.5322265625,718.4851404138514
107,1074,4965599,3005,3008.249755859375,718.1415949641047
108,1087,4965609,3014,3008.709716796875,718.7010069151182
109,1097,4965619,3003,3008.2529296875,718.1454550253378
110,1108,4965629,3003,3007.832763671875,717.6344423036318
111,1118,4965639,3001,3007.2861328125,716.9696209881756
112,1125,4965649,3003,3006.943359375,716.552734375
113,1148,4965659,3002,3006.5478515625,716.0717113597973
114,1151,4965669,3006,3006.50390625,716.0182643581081
115,1154,4965679,3021,3007.66357421875,717.4286713471283
116,1166,4965689,3007,3007.610595703125,717.3642380173142
117,1175,4965699,3008,3007.641845703125,717.4022447740709
118,1184,4965709,3004,3007.3505859375,717.0480099239865
119,1196,4965719,3004,3007.08251953125,716.7219832136824
120,1208,4965729,3002,3006.676025390625,716.2275984480574
121,1217,4965739,3003,3006.3818359375,715.869800464527
122,1225,4965749,3002,3006.03125,715.4434121621622
123,1235,4965759,3003,3005.788818359375,715.1485628695101
124,1246,4965769,3016,3006.605712890625,716.1420832453547
125,1269,4965779,3003,3006.317138671875,715.7911146009291
126,1275,4965789,3005,3006.211669921875,715.662841796875
127,1283,4965799,2999,3005.634765625,714.9612014358108
128,1291,4965809,3001,3005.263916015625,714.5101681271115
129,1296,4965819,3007,3005.40283203125,714.6791200380068
130,1309,4965829,3004,3005.29052734375,714.5425332559122
131,1318,4965839,3003,3005.107177734375,714.3195404877533
132,1328,4965849,3003,3004.938720703125,714.1146603146115
133,1337,4965859,3018,3005.983642578125,715.3855112436655
134,1376,4965869,3001,3005.5849609375,714.9006281672297
135,1386,4965879,3005,3005.5380859375,714.8436180320946
136,1392,4965889,3001,3005.175048828125,714.4020864125845
137,1397,4965899,2986,3003.64111328125,712.5364891258446
138,1402,4965909,2998,3003.18994140625,711.987766575169
139,1407,4965919,3016,3004.21484375,713.2342694256756
140,1411,4965929,3015,3005.07763671875,714.2836122255068
141,1416,4965939,3003,3004.911376953125,714.0814044024494
142,1424,4965949,3016,3005.798583984375,715.1604399809967
143,1434,4965959,3005,3005.734619140625,715.0826449007601
144,1448,4965969,3014,3006.395751953125,715.8867253483953
145,1456,4965979,3004,3006.2041015625,715.653637035473
146,1467,4965989,3014,3006.827880859375,716.4122875316723
147,1472,4965999,3018,3007.7216796875,717.499340160473
148,1486,4966009,3017,3008.4638671875,718.4020006334459
149,1494,4966019,3005,3008.186767578125,718.0649875950169
150,1505,4966029,3002,3007.69189453125,717.4631149704392
151,1514,4966039,3003,3007.316650390625,717.0067369615709
152,1525,4966049,3005,3007.13134765625,716.7813687711149
153,1536,4966059,3002,3006.720947265625,716.2822331608953
154,1545,4966069,3003,3006.42333984375,715.9202781883446
155,1566,4966079,3003,3006.1494140625,715.5871252111486
156,1572,4966089,3000,3005.657470703125,714.9888157200169
157,1580,4966099,2998,3005.044921875,714.243823902027
158,1586,4966109,3016,3005.92138671875,715.3097946579392
159,1598,4966119,3015,3006.647705078125,716.1931548247467
160,1605,4966129,3001,3006.19580078125,715.6435414907095
161,1617,4966139,3015,3006.900146484375,716.5001781566723
162,1625,4966149,3016,3007.628173828125,717.3856168179899
163,1637,4966159,3014,3008.137939453125,718.0056020375845
164,1647,4966169,3007,3008.046875,717.894847972973
165,1651,4966179,3005,3007.80322265625,717.5985140413851
166,1666,4966189,3005,3007.578857421875,717.3256374049831
167,1674,4966199,3016,3008.25244140625,718.1448611697635
168,1686,4966209,3002,3007.752197265625,717.5364561338682
169,1700,4966219,3001,3007.2119140625,716.8793549408783
170,1709,4966229,3007,3007.195068359375,716.8588669235642
171,1717,4966239,3002,3006.779541015625,716.3534958298142
172,1725,4966249,3016,3007.51708984375,717.250514674831
173,1737,4966259,3004,3007.23583984375,716.9084538640203
174,1745,4966269,3018,3008.096923828125,717.9557181693413
175,1754,4966279,3006,3007.92919921875,717.7517287795608
