sample, max_time_ms, sensor_time_ms, raw, smoothed, frequency
0,2,4956134,3018,3008.775146484375,718.7805835620777
1,15,4956144,3000,3008.0732421875,717.9269161739865
2,24,4956154,3002,3007.58740234375,717.3360298775337
3,34,4956164,3017,3008.34033203125,718.2517551731419
4,58,4956174,3016,3008.953125,718.997043918919
5,62,4956184,3016,3009.516845703125,719.6826501794764
6,74,4956194,3007,3009.3154296875,719.4376847550676
7,79,4956204,3015,3009.770263671875,719.9908612225506
8,83,4956214,3016,3010.2685546875,720.5968908361486
9,101,4956224,3019,3010.967041015625,721.4464012352196
10,103,4956234,3005,3010.48974609375,720.8659074113176
11,111,4956244,3001,3009.73046875,719.9424619932432
12,122,4956254,3002,3009.112060546875,719.1903439083615
13,132,4956264,3018,3009.822998046875,720.0549976245777
14,141,4956274,3017,3010.397216796875,720.7533717799831
15,151,4956284,3018,3011.00537109375,721.4930188978041
16,169,4956294,3018,3011.56494140625,722.1735773859797
17,177,4956304,3006,3011.11962890625,721.6319811021959
18,183,4956314,3018,3011.670166015625,722.3015532622467
19,194,4956324,3004,3011.056640625,721.5553737331081
20,202,4956334,3017,3011.5322265625,722.1337890625
21,212,4956344,3017,3011.9697265625,722.6658836570946
22,222,4956354,3006,3011.4921875,722.0850929054054
23,234,4956364,3001,3010.65283203125,721.0642551731419
24,242,4956374,3002,3009.960693359375,720.2224648965372
25,253,4956384,3003,3009.40380859375,719.5451726140203
26,263,4956394,3002,3008.8115234375,718.8248258023649
27,272,4956404,3003,3008.3466796875,718.2594752956081
28,283,4956414,3007,3008.239013671875,718.1285301414696
29,291,4956424,3017,3008.93994140625,718.9810098184122
30,299,4956434,3003,3008.46484375,718.4031883445946
31,314,4956444,3005,3008.187744140625,718.0661753061655
32,321,4956454,3016,3008.812744140625,718.8263104413006
33,332,4956464,3018,3009.547607421875,719.7200630806587
34,361,4956474,3005,3009.183837890625,719.2776406777872
35,368,4956484,3017,3009.80908203125,720.0380727407095
36,373,4956494,3017,3010.38427734375,720.7376346072635
37,379,4956504,3001,3009.633544921875,719.8245816617399
38,384,4956514,3002,3009.02294921875,719.0819652660473
