sample, max_time_ms, sensor_time_ms, raw, smoothed, frequency
0,283,4945899,2988,3002.498291015625,711.1465701541385
1,285,4945909,3016,3003.578369140625,712.460178684544
2,291,4945919,2989,3002.412109375,711.0417546452703
3,296,4945929,3002,3002.379150390625,711.0016693940033
4,301,4945939,2990,3001.388916015625,709.7973302892736
5,306,4945949,3019,3002.7978515625,711.5109005489865
6,311,4945959,3001,3002.654052734375,711.336010082348
7,316,4945969,3016,3003.7216796875,712.6344752956081
8,319,4945979,3005,3003.823974609375,712.7588880384291
9,323,4945989,3016,3004.798095703125,713.943629909206
10,327,4946009,3020,3007.206787109375,716.873119457348
11,330,4946019,2991,3005.91015625,715.2961359797297
12,333,4946039,3001,3005.229736328125,714.4685982369087
13,335,4946049,3004,3005.13134765625,714.3489363386824
14,337,4946059,3002,3004.880859375,714.0442884290541
15,339,4946069,2987,3003.450439453125,712.3045885240709
16,341,4946079,3015,3004.37451171875,713.4284601984797
17,343,4946089,2988,3003.064453125,711.8351456925676
18,345,4946099,3003,3003.059326171875,711.8289102090372
19,347,4946109,3004,3003.134521484375,711.9203639674831
20,349,4946119,3004,3003.203857421875,712.0046914590372
21,352,4946129,3014,3004.067626953125,713.0552219700169
22,354,4946139,2990,3002.942138671875,711.6863848711994
23,356,4946149,3005,3003.106689453125,711.8865141997467
24,357,4946159,2989,3001.978271484375,710.5141139674831
25,359,4946169,3004,3002.139892578125,710.7106801625845
26,361,4946179,3003,3002.208740234375,710.7944137985642
27,364,4946189,3005,3002.43212890625,711.0661027238176
28,366,4946199,3005,3002.637451171875,711.3158189928209
29,368,4946209,3000,3002.426513671875,711.0592733847128
30,370,4946219,3015,3003.432373046875,712.2826158678209
31,372,4946229,3001,3003.23779296875,712.0459644214527
32,374,4946239,2989,3002.098876953125,710.6607962943413
33,377,4946249,3016,3003.2109375,712.0133023648649
34,379,4946259,3008,3003.593994140625,712.4791820629223
35,381,4946269,3004,3003.62646484375,712.5186734586149
