sample, max_time_ms, sensor_time_ms, raw, smoothed, frequency
0,19,4946289,3001,3004.3271484375,713.3708562077703
1,22,4946299,3007,3004.541015625,713.6309649493244
2,27,4946309,2987,3003.1376953125,711.9242240287163
3,32,4946319,2999,3002.806640625,711.5215899493244
4,37,4946329,3000,3002.58203125,711.2484163851351
5,41,4946339,3002,3002.535400390625,711.1917031777872
6,45,4946349,2990,3001.532470703125,709.971923828125
7,50,4946359,3003,3001.64990234375,710.11474609375
8,55,4946369,3020,3003.117919921875,711.900172877956
9,60,4946379,3001,3002.948486328125,711.6941049936655
10,64,4946389,3003,3002.95263671875,711.6991527660473
11,67,4946399,2990,3001.91650390625,710.438991237331
12,71,4946409,3007,3002.3232421875,710.9336729307432
13,74,4946419,2988,3001.177490234375,709.5401908255913
14,78,4946429,2990,3000.283203125,708.4525443412163
15,81,4946439,3004,3000.58056640625,708.8142023859797
16,85,4946449,3016,3001.814208984375,710.3145784945101
17,89,4946499,3008,3002.389404296875,711.0141403610642
18,93,4946509,3006,3002.67822265625,711.365405933277
19,98,4946519,3007,3003.02392578125,711.7858556798986
20,104,4946529,3000,3002.781982421875,711.4916002428209
21,109,4946539,2985,3001.359375,709.761402027027
22,115,4946549,2991,3000.530517578125,708.7533321896115
23,120,4946559,3005,3000.88818359375,709.1883313978041
24,125,4946569,3016,3002.09716796875,710.658717799831
25,131,4946579,3016,3003.20947265625,712.0115207981419
26,135,4946589,3003,3003.192626953125,711.9910327808277
27,139,4946599,3016,3004.21728515625,713.2372387035473
28,144,4946609,3003,3004.119873046875,713.1187645164696
29,150,4946619,2989,3002.910400390625,711.6477842588682
30,155,4946629,3017,3004.03759765625,713.0186998521959
31,161,4946639,3017,3005.07470703125,714.2800490920608
32,167,4946669,3000,3004.231201171875,713.2541635874155
33,172,4946709,3005,3004.93994140625,714.1161449535473
34,189,4946779,3002,3004.807861328125,713.9555070206926
35,192,4946829,3004,3002.30908203125,710.9164511190878
36,195,4946839,2985,3000.92431640625,709.2322767103041
37,198,4946849,3000,3000.850341796875,709.142307590794
38,200,4946859,3004,3001.102294921875,709.4487370671453
39,202,4946869,3006,3001.494140625,709.9253061655405
40,205,4946879,2986,3000.254638671875,708.4178037901182
41,208,4946889,3000,3000.234375,708.3931587837837
42,210,4946899,3018,3001.655517578125,710.1215754328547
43,212,4946909,3001,3001.60302734375,710.0577359586149
44,214,4946919,2989,3000.5947265625,708.8314241976351
45,216,4946929,3016,3001.8271484375,710.3303156672297
46,218,4946939,2988,3000.720947265625,708.984935863598
47,220,4946949,2987,2999.623291015625,707.6499485325169
48,221,4946959,3002,2999.8134765625,707.8812552787163
49,223,4946969,3018,3001.268310546875,709.6506479624155
50,225,4946979,3001,3001.246826171875,709.6245183171453
51,227,4946989,3015,3002.34716796875,710.9627718538851
52,229,4946999,3000,3002.159423828125,710.7344343855574
53,231,4947009,3004,3002.306640625,710.9134818412163
54,234,4947019,3006,3002.60205078125,711.2727644636824
55,236,4947029,3003,3002.6337890625,711.3113650760135
56,238,4947039,3003,3002.6630859375,711.346996410473
57,239,4947049,2999,3002.3701171875,710.9906830658783
58,241,4947059,3006,3002.660400390625,711.3437302048142
59,243,4947069,3001,3002.527587890625,711.182201488598
60,244,4947079,3006,3002.805419921875,711.5201053103885
61,246,4947089,3017,3003.94091796875,712.9011164484797
62,248,4947099,3015,3004.82568359375,713.9771827491554
63,250,4947109,3014,3005.5595703125,714.8697476773649
64,251,4947119,3016,3006.394775390625,715.8855376372467
65,253,4947129,3017,3007.2431640625,716.9173616976351
66,254,4947139,3002,3006.82373046875,716.4072397592905
67,255,4947149,3002,3006.437744140625,715.9377969277872
68,257,4947159,3002,3006.082763671875,715.5060639252533
69,259,4947169,3002,3005.756103515625,715.1087745460304
70,261,4947179,3007,3005.855712890625,715.2299210831926
71,264,4947189,3002,3005.54736328125,714.8549012880068
72,267,4947199,3003,3005.343505859375,714.6069665857264
73,269,4947209,3019,3006.43603515625,715.935718433277
74,271,4947219,3001,3006.001220703125,715.4068900443413
75,274,4947229,3000,3005.521240234375,714.8231300147804
76,280,4947239,3007,3005.6396484375,714.9671399915541
77,281,4947249,3006,3005.66845703125,715.0021774704392
78,283,4947259,3004,3005.534912109375,714.8397579708615
79,289,4947269,3004,3005.412109375,714.690403293919
80,300,4947279,3002,3005.13916015625,714.3584380278717
81,304,4947289,3005,3005.1279296875,714.3447793496622
82,316,4947299,3003,3004.957763671875,714.1378206820101
83,324,4947309,3004,3004.881103515625,714.0445853568413
84,334,4947319,3001,3004.570556640625,713.6668932115709
85,344,4947329,3000,3004.204833984375,713.222095386402
86,367,4947339,3004,3004.1884765625,713.2022012246622
87,372,4947349,3014,3004.973388671875,714.1568240603885
88,377,4947359,3003,3004.8154296875,713.9647117820946
89,386,4947369,3006,3004.91015625,714.0799197635135
90,397,4947379,3005,3004.917236328125,714.0885306693413
91,405,4947389,3003,3004.763916015625,713.9020600190033
92,416,4947399,3005,3004.78271484375,713.9249234586149
93,424,4947409,3001,3004.480224609375,713.5570299303209
94,434,4947419,3005,3004.521728515625,713.6075076541385
95,444,4947429,3015,3005.360107421875,714.6271576752533
96,456,4947439,3005,3005.331298828125,714.5921201963682
97,463,4947449,3003,3005.144775390625,714.3652673669764
98,474,4947459,3002,3004.89306640625,714.0591348184122
99,484,4947469,3001,3004.58154296875,713.6802549619932
100,508,4947479,3019,3005.735107421875,715.0832387563345
101,513,4947489,3002,3005.436279296875,714.719799144848
102,518,4947500,3006,3005.4814453125,714.774730785473
103,526,4947510,3016,3006.322998046875,715.7982408678209
104,535,4947520,3003,3006.05712890625,715.4748865076014
105,545,4947530,3007,3006.132568359375,715.5666371938345
106,555,4947540,3003,3005.882080078125,715.261989284206
107,566,4947550,3002,3005.571533203125,714.8842971389358
108,577,4947560,3001,3005.205810546875,714.4394993137669
109,586,4947570,3000,3004.789306640625,713.9329405088682
110,596,4947580,3000,3004.40625,713.4670608108108
111,610,4947590,3018,3005.49365234375,714.789577174831
112,616,4947600,3015,3006.254150390625,715.7145072318413
113,625,4947610,3005,3006.15380859375,715.5924699113176
114,635,4947620,3018,3007.1015625,716.745143581081
115,649,4947630,3005,3006.933349609375,716.5405603357264
116,656,4947640,3003,3006.61865234375,716.1578204180744
117,666,4947650,3008,3006.729248046875,716.2923287056587
118,675,4947660,3000,3006.19091796875,715.6376029349663
119,686,4947670,3008,3006.335693359375,715.8136811127533
120,695,4947680,3017,3007.18896484375,716.8514437288851
121,707,4947690,3016,3007.893798828125,717.7086742504223
122,714,4947700,3002,3007.42236328125,717.1353066934122
123,725,4947710,3001,3006.90869140625,716.510570629223
124,735,4947720,3002,3006.515869140625,716.0328138196791
125,745,4947730,3003,3006.234619140625,715.6907530088682
126,756,4947740,3007,3006.2958984375,715.7652818834459
127,768,4947750,3003,3006.0322265625,715.4445998733108
128,777,4947760,3004,3005.86962890625,715.2468459670608
129,786,4947770,3005,3005.800048828125,715.1622215477196
130,808,4947780,3000,3005.3359375,714.5977618243244
131,816,4947790,3015,3006.109130859375,715.5381321262669
132,821,4947800,3015,3006.8203125,716.4030827702703
133,828,4947810,3003,3006.5146484375,716.0313291807432
134,836,4947820,3001,3006.073486328125,715.4947806693413
135,845,4947830,3015,3006.78759765625,716.3632944467905
136,855,4947840,3014,3007.364501953125,717.0649348078547
137,865,4947850,3002,3006.935302734375,716.5429357580236
138,874,4947860,3006,3006.860595703125,716.452075855152
139,898,4947870,3017,3007.671875,717.4387668918919
140,915,4947880,3015,3008.258056640625,718.1516905088682
141,919,4947890,3004,3007.91748046875,717.737476245777
142,922,4947900,3016,3008.56396484375,718.5237410261824
143,927,4947910,3008,3008.518798828125,718.4688093855574
144,934,4947920,3005,3008.2373046875,718.1264516469595
145,945,4947930,3001,3007.658447265625,717.422435863598
146,957,4947940,3016,3008.32568359375,718.2339395059122
147,965,4947950,3015,3008.859619140625,718.8833205764358
148,989,4947960,3003,3008.390869140625,718.3132192250845
149,997,4947970,3004,3008.03955078125,717.8859401393581
150,1003,4947980,3016,3008.67626953125,718.660327808277
151,1009,4947990,3016,3009.26220703125,719.3729544974663
152,1015,4948000,3016,3009.80126953125,720.0285710515203
153,1024,4948010,3017,3010.377197265625,720.7290237014358
154,1035,4948020,3016,3010.826904296875,721.2759646853885
155,1048,4948030,3004,3010.28076171875,720.6117372255068
156,1056,4948040,3002,3009.618408203125,719.8061721389358
157,1066,4948050,3002,3009.009033203125,719.0650403821791
158,1075,4948060,3003,3008.5283203125,718.4803895692568
159,1087,4948070,3000,3007.845947265625,717.6504764041385
160,1106,4948080,3007,3007.7783203125,717.5682274070946
161,1113,4948090,3005,3007.55615234375,717.298023120777
162,1119,4948100,3006,3007.431640625,717.1465899493244
163,1126,4948110,3004,3007.1572265625,716.8128431165541
164,1135,4948120,3001,3006.66455078125,716.2136428420608
165,1145,4948130,3007,3006.69140625,716.2463048986486
166,1156,4948140,3005,3006.55615234375,716.0818069045608
167,1167,4948150,3015,3007.231689453125,716.9034060916385
168,1175,4948160,3008,3007.293212890625,716.9782318940033
169,1185,4948170,3005,3007.10986328125,716.7552391258446
170,1195,4948180,3014,3007.6611328125,717.4257020692568
171,1231,4948190,3015,3008.248291015625,718.1398133973818
172,1233,4948200,3005,3007.988525390625,717.8238822318413
173,1235,4948210,3001,3007.429443359375,717.1439175992399
174,1237,4948220,3000,3006.835205078125,716.4211953652872
175,1244,4948230,3002,3006.448486328125,715.9508617504223
176,1254,4948240,3018,3007.37255859375,717.074733424831
177,1264,4948250,3003,3007.022705078125,716.6492359058277
178,1274,4948260,3015,3007.660888671875,717.4254051414696
