125010,1294566,4907239,2999,3003.071533203125,711.8437565983953
125011,1294568,4907249,3017,3004.185791015625,713.1989350190033
125012,1294571,4907259,3000,3003.850830078125,712.7915500950169
125013,1294572,4907269,3016,3004.82275390625,713.9736196157095
125014,1294573,4907279,3002,3004.596923828125,713.6989614125845
125015,1294574,4907289,2992,3003.589111328125,712.4732435071791
125016,1294575,4907299,3000,3003.302001953125,712.1240564294764
125017,1294578,4907309,2998,3002.8779296875,711.6082928631756
125018,1294579,4907319,3008,3003.28759765625,712.1065376900337
125019,1294580,4907329,3006,3003.504638671875,712.3705064928209
125020,1294581,4907339,3016,3004.504150390625,713.5861288534628
125021,1294582,4907349,3016,3005.423828125,714.7046558277027
125022,1294607,4907359,2991,3004.27001953125,713.3013751055744
125023,1294609,4907369,3004,3004.24853515625,713.2752454603041
125024,1294628,4907379,3008,3004.548583984375,713.6401697107264
125025,1294635,4907389,3003,3004.4248046875,713.4896273226351
125026,1294638,4907399,3004,3004.390869140625,713.4483543602196
125027,1294641,4907409,3000,3004.03955078125,713.0210752744932
125028,1294666,4907419,2999,3003.636474609375,712.5308474978885
125029,1294670,4907429,3000,3003.345458984375,712.1769095755913
125030,1294674,4907439,2999,3002.997802734375,711.7540844066723
125031,1294678,4907449,3006,3003.238037109375,712.0462613492399
125032,1294702,4907459,3007,3003.5390625,712.4123733108108
125033,1294706,4907469,2991,3002.535888671875,711.1922970333615
125034,1294714,4907480,3004,3002.653076171875,711.3348223711994
125035,1294719,4907490,3007,3003.000732421875,711.7576475401182
125036,1294741,4907500,2991,3002.040771484375,710.5901274809967
125037,1294745,4907510,3007,3002.4375,711.0726351351351
125038,1294750,4907520,3001,3002.322509765625,710.9327821473818
125039,1294769,4907530,3001,3002.216796875,710.8042124155405
125040,1294776,4907540,3005,3002.439453125,711.0750105574324
125041,1294782,4907550,2991,3001.5244140625,709.9621252111486
125042,1294790,4907560,2991,3000.682373046875,708.9380212732264
125043,1294800,4907570,3003,3000.86767578125,709.1633894636824
125044,1294810,4907580,3015,3001.998291015625,710.5384620460304
125045,1294818,4907590,3001,3001.91845703125,710.4413666596283
125046,1294843,4907600,3006,3002.244873046875,710.8383591110642
125047,1294851,4907610,3007,3002.625244140625,711.3009726034628
125048,1294858,4907620,3007,3002.975341796875,711.7267670502533
125049,1294863,4907630,2999,3002.6572265625,711.339870143581
125050,1294869,4907640,3004,3002.7646484375,711.4705183699324
125051,1294886,4907650,3003,3002.783447265625,711.493381809544
