sample,processing_time_ms,sensor_time_ms,raw,smoothed,frequency
0,1631,0.0,0.0,700.0,100.0
1,1672,0.0,0.0,700.0,100.0
2,1691,0.0,0.0,700.0,100.0
3,1709,0.0,0.0,700.0,100.0
4,1726,0.0,0.0,700.0,100.0
5,1740,0.0,0.0,700.0,100.0
6,1757,0.0,0.0,700.0,100.0
7,1776,109548.0,2927.0,2924.201,615.92004
8,1791,109568.0,2936.0,2925.9397,618.0348
9,1808,109578.0,2936.0,2926.7446,619.01373
10,1826,109598.0,2936.0,2928.1663,620.74274
11,1841,109618.0,2936.0,2929.3696,622.2063
12,1859,109628.0,2937.0,2929.98,622.9486
13,1875,109628.0,2937.0,2929.98,622.9486
14,1891,109668.0,2938.0,2932.0623,625.48114
15,1907,109678.0,2939.0,2932.6172,626.156
16,1924,109698.0,2937.0,2933.2903,626.9747
17,1941,109718.0,2940.0,2934.1736,628.04895
18,1959,109738.0,2939.0,2934.915,628.95074
19,1975,109748.0,2938.0,2935.1619,629.2509
20,1992,109768.0,2939.0,2935.825,630.0574
21,2009,109788.0,2942.0,2936.5525,630.9422
22,2025,109798.0,2938.0,2936.6682,631.08295
23,2042,109818.0,2940.0,2937.1064,631.61597
24,2059,109838.0,2941.0,2937.5571,632.16406
25,2075,109848.0,2941.0,2937.8325,632.499
26,2092,109868.0,2942.0,2938.3992,633.1882
27,2108,109878.0,2941.0,2938.6072,633.44116
28,2126,109898.0,2941.0,2938.9746,633.888
29,2141,109918.0,2939.0,2939.1992,634.16125
30,2157,109928.0,2924.0,2937.9834,632.68256
31,2176,109948.0,2906.0,2934.2485,628.1401
32,2192,109968.0,2919.0,2931.8328,625.202
33,2209,109988.0,2875.0,2925.4585,617.4495
34,2225,109998.0,2875.0,2921.4219,612.5401
35,2242,110018.0,2878.0,2914.605,604.24927
36,2259,110028.0,2888.0,2912.4766,601.66064
37,2275,110048.0,2892.0,2909.184,597.6563
38,2292,110069.0,2889.0,2906.231,594.0647
39,2309,110079.0,2891.0,2905.0125,592.5827
40,2326,110099.0,2892.0,2903.161,590.3308
41,2342,110119.0,2903.0,2903.1362,590.30084
42,2359,110129.0,2905.0,2903.2854,590.4823
43,2376,110149.0,2906.0,2903.5552,590.8103
44,2391,110169.0,2907.0,2904.0842,591.4538
45,2407,110179.0,2907.0,2904.3174,591.73737
46,2424,110199.0,2908.0,2904.8093,592.3357
47,2442,110219.0,2918.0,2906.1729,593.994
48,2459,110229.0,2911.0,2906.559,594.46375
49,2476,110249.0,2919.0,2908.47,596.78784
50,2491,110269.0,2920.0,2910.1672,598.85205
51,2508,110279.0,2912.0,2910.314,599.0305
52,2526,110299.0,2909.0,2910.2593,598.964
53,2542,110319.0,2911.0,2910.2258,598.92334
54,2557,110329.0,2909.0,2910.1277,598.80396
55,2574,110329.0,2909.0,2910.1277,598.80396
56,2593,110369.0,2920.0,2910.538,599.3031
57,2609,110379.0,2920.0,2911.295,600.2236
58,2624,110399.0,2923.0,2912.9456,602.2311
59,2642,110419.0,2922.0,2914.3364,603.9227
60,2658,110429.0,2924.0,2915.1096,604.86304
61,2676,110449.0,2922.0,2916.389,606.41895
62,2691,110459.0,2925.0,2917.078,607.2569
63,2707,110479.0,2925.0,2918.2212,608.6474
64,2724,110499.0,2927.0,2919.4224,610.1083
65,2741,110519.0,2927.0,2920.5127,611.4343
66,2759,110529.0,2935.0,2921.6716,612.8439
67,2775,110549.0,2936.0,2923.7988,615.43097
68,2792,110569.0,2936.0,2925.599,617.62054
69,2809,110579.0,2936.0,2926.4312,618.63245
70,2825,110599.0,2935.0,2927.7473,620.2332
71,2841,110609.0,2937.0,2928.4875,621.13354
72,2857,110619.0,2937.0,2929.1685,621.9616
73,2876,110619.0,2937.0,2929.1685,621.9616
74,2891,110619.0,2937.0,2929.1685,621.9616
75,2909,110689.0,2937.0,2931.3064,623.95966
76,2924,110699.0,2936.0,2931.682,625.0185
77,2941,110709.0,2938.0,2932.1873,625.6331
78,2959,110729.0,2938.0,2933.08,626.719
79,2976,110749.0,2938.0,2933.9094,627.72766
80,2993,110769.0,2927.0,2932.7744,626.3472
81,3009,110779.0,2923.0,2931.9924,625.3962
82,3026,110799.0,2909.0,2928.608,621.27985
83,3042,110819.0,2904.0,2924.9753,616.8619
84,3058,110829.0,2891.0,2922.2573,613.5562
85,3075,110849.0,2859.0,2913.7188,603.1715
86,3092,110869.0,2847.0,2903.3972,590.6183
87,3108,110879.0,2855.0,2899.5254,585.90924
88,3126,110899.0,2858.0,2893.2207,578.2414
89,3142,110919.0,2861.0,2888.2717,572.2224
90,3158,110929.0,2861.0,2886.09,569.56903
91,3176,110949.0,2858.0,2881.996,564.58984
92,3191,110969.0,2855.0,2877.9966,559.7256
93,3207,110979.0,2846.0,2875.4368,556.6123
94,3224,110999.0,2843.0,2870.528,550.6422
95,3241,111019.0,2832.0,2865.199,544.1609
96,3259,111029.0,2829.0,2862.303,540.6388
97,3275,111049.0,2825.0,2856.7205,533.84924
