sample,processing_time_ms,sensor_time_ms,raw,smoothed,frequency
0,1743,7637.0,3020.0,3019.2222,731.4864
1,1796,7697.0,3020.0,3018.4707,730.5725
2,1813,7717.0,3018.0,3018.472,730.574
3,1832,7737.0,3022.0,3019.0874,731.3225
4,1848,7737.0,3022.0,3019.0874,731.3225
5,1863,7767.0,3004.0,3017.9355,729.92163
6,1883,7787.0,3019.0,3018.246,730.2993
7,1899,7797.0,3020.0,3018.3865,730.47003
8,1915,7817.0,3020.0,3018.6343,730.77136
9,1932,7837.0,3019.0,3018.6904,730.8397
10,1948,7857.0,3019.0,3018.8853,731.07666
11,1963,7867.0,3021.0,3019.0544,731.2824
12,1982,7887.0,3020.0,3019.0525,731.28
13,1999,7907.0,3019.0,3019.1917,731.4493
14,2015,7917.0,3019.0,3019.1763,731.43054
15,2032,7927.0,3020.0,3019.2422,731.51074
16,2047,7927.0,3020.0,3019.2422,731.51074
17,2066,7937.0,3019.0,3019.223,731.4873
18,2082,7967.0,3021.0,3020.4346,732.961
19,2098,7997.0,3020.0,3020.4001,732.91907
20,2113,8018.0,3020.0,3020.4124,732.93396
21,2133,8038.0,3020.0,3020.4226,732.9464
22,2149,8058.0,3019.0,3020.1304,732.591
23,2163,8068.0,3022.0,3020.28,732.773
24,2183,8088.0,3022.0,3020.3235,732.82587
25,2199,8098.0,3020.0,3020.2976,732.7944
26,2215,8118.0,3020.0,3020.1782,732.64923
27,2232,8138.0,3020.0,3020.151,732.61597
28,2247,8158.0,3018.0,3019.9678,732.3932
29,2266,8168.0,3020.0,3019.9705,732.3965
30,2282,8188.0,3022.0,3020.2085,732.68604
31,2298,8208.0,3021.0,3020.2566,732.7445
32,2315,8218.0,3020.0,3020.236,732.7196
33,2332,8238.0,3019.0,3020.1199,732.57825
34,2347,8238.0,3019.0,3020.1199,732.57825
35,2366,8248.0,3019.0,3020.0303,732.46924
36,2381,8278.0,3022.0,3020.1836,732.6557
37,2398,8308.0,3021.0,3019.3484,731.63995
38,2415,8318.0,3019.0,3019.3206,731.6061
39,2430,8338.0,3021.0,3019.137,731.38275
40,2449,8358.0,3019.0,3019.116,731.35724
41,2465,8368.0,3020.0,3019.1868,731.44336
42,2483,8388.0,3019.0,3019.1582,731.4086
43,2498,8398.0,3022.0,3019.3855,731.68506
44,2515,8418.0,3021.0,3019.707,732.0761
45,2532,8428.0,3019.0,3019.6504,732.00726
46,2549,8448.0,3006.0,3018.5842,730.7106
47,2566,8468.0,3019.0,3018.869,731.05676
48,2580,8488.0,3020.0,3018.969,731.1785
49,2599,8508.0,3020.0,3019.1274,731.3712
50,2616,8518.0,3021.0,3019.2773,731.5535
51,2630,8538.0,3020.0,3019.462,731.778
52,2649,8548.0,3020.0,3019.505,731.83026
53,2665,8568.0,3021.0,3019.808,732.19904
54,2682,8588.0,3021.0,3019.6968,732.0636
55,2697,8608.0,3020.0,3019.7432,732.12006
56,2715,8618.0,3021.0,3019.8438,732.24243
57,2732,8638.0,3021.0,3019.9478,732.3689
58,2748,8658.0,3021.0,3019.8887,732.29706
59,2766,8668.0,3020.0,3019.8975,732.3077
60,2781,8678.0,3021.0,3019.9856,732.4149
61,2799,8708.0,3021.0,3020.0747,732.5233
62,2816,8718.0,3022.0,3020.2288,732.71063
63,2832,8738.0,3020.0,3020.1199,732.57825
64,2849,8758.0,3019.0,3020.095,732.5479
65,2863,8768.0,3020.0,3020.0874,732.53876
66,2881,8788.0,3021.0,3020.0806,732.53046
