sample,processing_time_ms,sensor_time_ms,raw,smoothed,frequency
0,1844,9861.0,3081.0,3075.2234,799.596
1,1899,9911.0,3080.0,3073.4265,797.4106
2,1919,9921.0,3082.0,3074.1123,798.24475
3,1935,9931.0,3085.0,3074.9834,799.30414
4,1952,9971.0,3069.0,3075.4626,799.88696
5,1968,9991.0,3081.0,3077.9324,802.89075
6,1983,10011.0,3085.0,3079.018,804.2112
7,2002,10021.0,3082.0,3079.2566,804.5012
8,2018,10041.0,3072.0,3078.9517,804.1304
9,2035,10061.0,3112.0,3081.967,807.7977
10,2051,10071.0,3071.0,3081.0896,806.7306
11,2068,10091.0,3081.0,3081.4438,807.16144
12,2085,10111.0,3083.0,3080.726,806.28845
13,2102,10121.0,3064.0,3079.388,804.661
14,2118,10141.0,3072.0,3081.5652,807.309
15,2135,10161.0,3086.0,3082.2463,808.13745
16,2152,10171.0,3047.0,3079.4265,804.70795
17,2167,10191.0,3084.0,3079.2456,804.48785
18,2186,10201.0,3110.0,3081.706,807.48035
19,2202,10211.0,3070.0,3080.7695,806.3414
20,2218,10231.0,3069.0,3080.36,805.8434
21,2234,10261.0,3064.0,3078.2468,803.2732
22,2253,10271.0,3084.0,3078.707,803.8329
23,2269,10291.0,3083.0,3078.557,803.65027
24,2284,10311.0,3085.0,3079.3994,804.6749
25,2302,10321.0,3071.0,3078.7275,803.85785
26,2319,10341.0,3088.0,3079.931,805.32135
27,2335,10361.0,3068.0,3079.2024,804.43536
28,2352,10371.0,3084.0,3079.5862,804.9021
29,2368,10391.0,3084.0,3080.2642,805.7267
30,2386,10411.0,3112.0,3086.3164,813.0875
31,2401,10421.0,3070.0,3085.011,811.4998
32,2419,10441.0,3082.0,3084.4014,810.7584
33,2435,10461.0,3097.0,3090.2373,817.8562
34,2451,10471.0,3085.0,3089.8184,817.3467
35,2468,10491.0,3086.0,3089.0112,816.36505
36,2485,10511.0,3072.0,3086.3247,813.0976
37,2501,10521.0,3082.0,3085.9788,812.6769
38,2518,10541.0,3065.0,3084.2283,810.5479
39,2535,10561.0,3082.0,3081.8987,807.71466
40,2551,10572.0,3084.0,3082.067,807.9192
41,2569,10592.0,3088.0,3082.5366,808.4905
42,2586,10602.0,3084.0,3082.6538,808.633
43,2601,10622.0,3082.0,3082.7004,808.6897
44,2618,10642.0,3081.0,3082.5864,808.551
45,2636,10652.0,3072.0,3081.7395,807.52106
46,2653,10672.0,3083.0,3081.8594,807.6668
47,2668,10692.0,3102.0,3084.6587,811.07135
48,2686,10712.0,3088.0,3084.9512,811.42706
49,2701,10722.0,3084.0,3084.875,811.3344
50,2719,10742.0,3065.0,3083.2205,809.3222
51,2735,10762.0,3083.0,3083.113,809.1915
52,2751,10772.0,3084.0,3083.184,809.27795
53,2769,10782.0,3087.0,3083.4893,809.6491
54,2785,10812.0,3083.0,3087.5112,814.5407
55,2802,10822.0,3084.0,3087.2302,814.1989
56,2819,10832.0,3084.0,3086.972,813.88477
57,2835,10852.0,3051.0,3083.7283,809.9398
58,2852,10872.0,3069.0,3082.6436,808.62054
59,2869,10892.0,3088.0,3075.812,800.3119
60,2885,10912.0,3083.0,3077.1367,801.92303
61,2902,10922.0,3083.0,3077.6057,802.49347
62,2918,10942.0,3083.0,3078.3606,803.4115
63,2935,10962.0,3083.0,3078.926,804.09924
64,2951,10972.0,3081.0,3079.092,804.30115
65,2968,10992.0,3070.0,3078.9465,804.1242
66,2984,11002.0,3071.0,3078.3108,803.35095
67,3002,11022.0,3084.0,3078.0806,803.071
68,3018,11032.0,3085.0,3078.634,803.7441
69,3036,11062.0,3065.0,3077.1711,801.9649
70,3052,11072.0,3081.0,3077.4775,802.3376
71,3068,11092.0,3084.0,3079.4363,804.7198
72,3086,11112.0,3083.0,3079.9836,805.3855
73,3102,11122.0,3070.0,3079.185,804.4143
74,3119,11132.0,3082.0,3079.4102,804.68805
75,3135,11162.0,3082.0,3080.1306,805.5643
76,3153,11172.0,3084.0,3080.4402,805.9408
77,3168,11192.0,3072.0,3080.1743,805.61743
78,3185,11212.0,3084.0,3080.6885,806.24274
79,3202,11222.0,3084.0,3080.9534,806.56494
80,3218,11242.0,3087.0,3081.882,807.6944
81,3235,11262.0,3081.0,3082.041,807.88776
82,3250,11272.0,3082.0,3082.0378,807.8839
83,3269,11292.0,3072.0,3081.3057,806.9934
84,3285,11312.0,3100.0,3082.9258,808.9638
85,3301,11322.0,3083.0,3082.9316,808.97095
86,3319,11342.0,3097.0,3084.1357,810.43536
87,3335,11352.0,3083.0,3084.045,810.3249
88,3353,11372.0,3082.0,3082.8477,808.8688
89,3369,11382.0,3084.0,3082.94,808.981
90,3385,11402.0,3047.0,3080.3635,805.84753
91,3402,11422.0,3165.0,3087.4756,814.4974
92,3418,11442.0,3066.0,3087.71,814.78235
93,3435,11452.0,3072.0,3086.4531,813.25385
94,3451,11472.0,3084.0,3086.0764,812.79565
95,3468,11482.0,3088.0,3086.2302,812.9827
96,3485,11492.0,3081.0,3085.8118,812.4738
97,3501,11522.0,3084.0,3085.8406,812.5088
98,3518,11542.0,3128.0,3088.9307,816.267
99,3536,11562.0,3083.0,3087.2102,814.17456
100,3552,11572.0,3084.0,3086.9534,813.8622
101,3569,11592.0,3064.0,3084.8997,811.36444
102,3585,11602.0,3101.0,3086.1877,812.931
103,3601,11622.0,3081.0,3085.538,812.1409
104,3618,11642.0,3085.0,3084.4988,810.8769
105,3636,11652.0,3081.0,3084.219,810.5366
106,3651,11672.0,3064.0,3083.9102,810.161
107,3668,11692.0,3055.0,3081.7512,807.5353
108,3685,11702.0,3084.0,3081.9312,807.7541
109,3703,11722.0,3083.0,3082.0952,807.9536
110,3719,11742.0,3098.0,3085.863,812.53613
111,3734,11752.0,3083.0,3085.634,812.2576
112,3751,11772.0,3084.0,3083.9846,810.2516
113,3768,11792.0,3085.0,3082.8894,808.91956
114,3785,11812.0,3087.0,3084.2568,810.58264
115,3803,11822.0,3084.0,3084.2363,810.55774
116,3817,11842.0,3114.0,3086.8943,813.7904
117,3836,11862.0,3083.0,3086.2961,813.06287
118,3851,11872.0,3065.0,3084.5925,810.9909
119,3870,11892.0,3084.0,3085.8264,812.4916
120,3886,11912.0,3081.0,3085.4531,812.0376
121,3902,11922.0,3063.0,3083.657,809.8531
122,3918,11942.0,3082.0,3083.844,810.08057
123,3936,11962.0,3083.0,3083.7878,810.0122
124,3951,11972.0,3069.0,3082.6047,808.5733
125,3967,11992.0,3084.0,3082.819,808.83405
126,3986,12012.0,3085.0,3083.375,809.51013
127,4000,12022.0,3084.0,3083.425,809.571
128,4019,12042.0,3065.0,3080.963,806.5765
129,4034,12042.0,3065.0,3080.963,806.5765
130,4050,12072.0,3086.0,3080.7646,806.3354
131,4070,12072.0,3086.0,3080.7646,806.3354
132,4085,12092.0,3085.0,3081.1943,806.858
133,4103,12122.0,3112.0,3080.4343,805.93365
134,4118,12142.0,3083.0,3079.5034,804.80145
135,4136,12162.0,3085.0,3080.5684,806.0967
136,4151,12172.0,3085.0,3080.9229,806.52783
137,4168,12192.0,3115.0,3084.17,810.4769
138,4186,12212.0,3118.0,3085.686,812.32086
139,4201,12222.0,3113.0,3087.871,814.9784
140,4219,12242.0,3083.0,3086.9756,813.8892
141,4236,12242.0,3083.0,3086.9756,813.8892
142,4251,12272.0,3081.0,3084.6492,811.05975
143,4269,12292.0,3072.0,3083.3687,809.50244
144,4285,12312.0,3064.0,3084.0735,810.3597
145,4303,12322.0,3052.0,3081.5076,807.2389
146,4318,12342.0,3048.0,3076.3608,800.9794
147,4336,12362.0,3039.0,3071.211,794.716
