sample,processing_time_ms,sensor_time_ms,raw,smoothed,frequency
0,1835,0.0,0.0,700.0,100.0
1,1876,0.0,0.0,700.0,100.0
2,1896,0.0,0.0,700.0,100.0
3,1912,0.0,0.0,700.0,100.0
4,1929,0.0,0.0,700.0,100.0
5,1945,0.0,0.0,700.0,100.0
6,1962,0.0,0.0,700.0,100.0
7,1979,0.0,0.0,700.0,100.0
8,1995,0.0,0.0,700.0,100.0
9,2012,0.0,0.0,700.0,100.0
10,2029,0.0,0.0,700.0,100.0
11,2046,0.0,0.0,700.0,100.0
12,2062,0.0,0.0,700.0,100.0
13,2079,0.0,0.0,700.0,100.0
14,2095,254821.0,2987.0,2996.2236,703.5152
15,2112,254971.0,2988.0,2996.0125,703.25836
16,2129,254981.0,3004.0,2996.6514,704.03546
17,2145,254981.0,3004.0,2996.6514,704.03546
18,2161,255001.0,3004.0,2997.633,705.22943
19,2179,255001.0,3004.0,2997.633,705.22943
20,2195,255001.0,3004.0,2997.633,705.22943
21,2212,255011.0,2990.0,2997.0225,704.48676
22,2229,255011.0,2990.0,2997.0225,704.48676
23,2246,255011.0,2990.0,2997.0225,704.48676
24,2261,255011.0,2990.0,2997.0225,704.48676
25,2278,255011.0,2990.0,2997.0225,704.48676
26,2296,255011.0,2990.0,2997.0225,704.48676
27,2312,255011.0,2990.0,2997.0225,704.48676
28,2328,255011.0,2990.0,2997.0225,704.48676
29,2346,255011.0,2990.0,2997.0225,704.48676
30,2362,255011.0,2990.0,2997.0225,704.48676
31,2378,255011.0,2990.0,2997.0225,704.48676
32,2396,255011.0,2990.0,2997.0225,704.48676
33,2412,255011.0,2990.0,2997.0225,704.48676
34,2428,255011.0,2990.0,2997.0225,704.48676
35,2446,255011.0,2990.0,2997.0225,704.48676
36,2461,255011.0,2990.0,2997.0225,704.48676
37,2478,255011.0,2990.0,2997.0225,704.48676
38,2496,255011.0,2990.0,2997.0225,704.48676
39,2512,255011.0,2990.0,2997.0225,704.48676
40,2529,255011.0,2990.0,2997.0225,704.48676
41,2545,255011.0,2990.0,2997.0225,704.48676
42,2563,255011.0,2990.0,2997.0225,704.48676
43,2578,255011.0,2990.0,2997.0225,704.48676
44,2595,255011.0,2990.0,2997.0225,704.48676
45,2612,255011.0,2990.0,2997.0225,704.48676
46,2629,255011.0,2990.0,2997.0225,704.48676
47,2645,255011.0,2990.0,2997.0225,704.48676
48,2662,255011.0,2990.0,2997.0225,704.48676
49,2679,255011.0,2990.0,2997.0225,704.48676
50,2695,255011.0,2990.0,2997.0225,704.48676
51,2712,255011.0,2990.0,2997.0225,704.48676
52,2727,255011.0,2990.0,2997.0225,704.48676
53,2746,255011.0,2990.0,2997.0225,704.48676
54,2761,255011.0,2990.0,2997.0225,704.48676
55,2779,255011.0,2990.0,2997.0225,704.48676
56,2794,255541.0,3004.0,2996.8247,704.2463
57,2809,255581.0,3007.0,2997.8035,705.43665
58,2829,255601.0,3003.0,2997.4978,705.0649
59,2845,255631.0,2989.0,2996.6536,704.03815
60,2862,255651.0,2990.0,2995.5579,702.7055
61,2878,255691.0,2989.0,2995.8914,703.1111
62,2895,255721.0,3003.0,2995.345,702.4466
63,2912,255731.0,3004.0,2996.0374,703.2887
64,2929,255761.0,3004.0,2996.5544,703.91754
65,2943,255791.0,3005.0,2998.288,706.026
66,2963,255791.0,3005.0,2998.288,706.026
67,2979,255791.0,3005.0,2998.288,706.026
68,2995,255791.0,3005.0,2998.288,706.026
69,3012,255801.0,2988.0,2997.465,705.0251
70,3027,255801.0,2988.0,2997.465,705.0251
71,3043,255801.0,2988.0,2997.465,705.0251
72,3063,255811.0,2990.0,2996.868,704.2988
73,3079,255821.0,3003.0,2997.3584,704.8954
74,3096,255831.0,2990.0,2996.7698,704.17944
75,3111,255841.0,3003.0,2997.2683,704.78577
76,3129,255871.0,3003.0,2997.5798,705.1647
77,3146,255921.0,2987.0,2996.4512,703.792
78,3162,255941.0,2988.0,2996.3308,703.64557
79,3179,255941.0,2988.0,2996.3308,703.64557
80,3196,255991.0,2990.0,2994.5928,701.5318
81,3212,255991.0,2990.0,2994.5928,701.5318
82,3229,256001.0,2989.0,2994.1453,700.9875
83,3245,256021.0,3005.0,2994.5613,701.49347
84,3262,256051.0,3004.0,2995.552,702.69836
85,3279,256061.0,2989.0,2995.0278,702.06085
86,3293,256081.0,3005.0,2996.4124,703.74475
87,3313,256091.0,3005.0,2997.0994,704.5803
88,3327,256111.0,3004.0,2998.0857,705.7799
89,3346,256132.0,2989.0,2997.7205,705.3357
90,3362,256182.0,2990.0,2998.0618,705.7508
91,3379,256192.0,3005.0,2998.617,706.426
92,3396,256192.0,3005.0,2998.617,706.426
93,3410,256212.0,3004.0,2999.37,707.34204
94,3429,256212.0,3004.0,2999.37,707.34204
95,3446,256252.0,3003.0,2999.567,707.58136
96,3463,256282.0,3001.0,3000.161,708.3038
97,3479,256312.0,2988.0,2998.5676,706.366
98,3493,256332.0,3003.0,2998.218,705.94086
99,3512,256392.0,3005.0,2998.3542,706.1065
100,3529,256432.0,3004.0,2997.037,704.5046
101,3546,256462.0,3002.0,2997.2612,704.7772
102,3563,256482.0,3004.0,2997.1187,704.60376
103,3579,256502.0,2986.0,2995.558,702.7058
104,3595,256502.0,2986.0,2995.558,702.7058
105,3611,256502.0,2986.0,2995.558,702.7058
106,3629,256502.0,2986.0,2995.558,702.7058
107,3643,256502.0,2986.0,2995.558,702.7058
108,3663,256502.0,2986.0,2995.558,702.7058
109,3678,256502.0,2986.0,2995.558,702.7058
110,3696,256522.0,3005.0,2996.9348,704.3802
111,3713,256542.0,3002.0,2997.86,705.5055
112,3729,256592.0,2987.0,2996.5073,703.8602
113,3746,256622.0,2987.0,2995.6309,702.7943
114,3762,256622.0,2987.0,2995.6309,702.7943
115,3779,256662.0,2990.0,2995.95,703.1824
116,3796,256702.0,3003.0,2995.9712,703.2082
117,3812,256722.0,3004.0,2996.1006,703.3656
118,3829,256732.0,3004.0,2996.7324,704.13403
119,3846,256752.0,3004.0,2997.9224,705.58124
