sample,processing_time_ms,sensor_time_ms,raw,smoothed,frequency
108,3638,197006.0,3116.0,3111.162,843.30524
109,3653,197016.0,3113.0,3111.309,843.484
110,3672,197036.0,3119.0,3110.2087,842.14575
111,3688,197046.0,3117.0,3110.752,842.8064
112,3706,197076.0,3114.0,3111.3972,843.59125
113,3721,197086.0,3116.0,3111.7654,844.039
114,3738,197106.0,3116.0,3112.416,844.8303
115,3755,197126.0,3117.0,3112.973,845.5076
116,3770,197136.0,3128.0,3114.175,846.96967
117,3789,197156.0,3115.0,3114.1545,846.9447
118,3806,197166.0,3148.0,3116.862,850.2376
119,3821,197186.0,3115.0,3116.5024,849.8003
120,3838,197206.0,3148.0,3119.1326,852.9991
121,3855,197226.0,3115.0,3118.424,852.1374
122,3872,197236.0,3114.0,3118.07,851.70685
123,3889,197256.0,3115.0,3116.568,849.8801
124,3906,197266.0,3115.0,3116.4426,849.72754
125,3921,197286.0,3103.0,3115.1875,848.20105
126,3938,197306.0,3072.0,3111.498,843.71387
127,3956,197326.0,3102.0,3110.996,843.1034
128,3972,197336.0,3127.0,3112.2764,844.66046
129,3989,197346.0,3119.0,3112.8142,845.3146
130,4005,197366.0,3143.0,3115.2427,848.2681
131,4021,197386.0,3116.0,3115.212,848.2307
132,4039,197406.0,3116.0,3115.2595,848.28864
133,4054,197416.0,3115.0,3115.2388,848.26337
134,4072,197436.0,3115.0,3115.0547,848.0395
135,4087,197446.0,3100.0,3113.8503,846.57477
136,4105,197466.0,3111.0,3113.854,846.5792
137,4121,197486.0,3115.0,3113.9565,846.7039
138,4138,197506.0,3114.0,3113.1536,845.72736
139,4155,197526.0,3127.0,3114.25,847.0608
140,4172,197536.0,3116.0,3114.39,847.23096
141,4188,197556.0,3115.0,3114.5574,847.4347
142,4205,197576.0,3114.0,3114.4717,847.33044
143,4222,197586.0,3131.0,3115.794,848.9386
144,4239,197606.0,3116.0,3115.8257,848.9772
145,4255,197606.0,3116.0,3115.8257,848.9772
146,4272,197636.0,3112.0,3117.7346,851.2989
147,4288,197646.0,3113.0,3117.356,850.8383
148,4305,197666.0,3129.0,3118.335,852.029
149,4322,197686.0,3113.0,3118.8403,852.6436
150,4339,197706.0,3134.0,3119.6968,853.6853
151,4355,197716.0,3116.0,3119.4011,853.3257
152,4373,197736.0,3128.0,3119.8389,853.8581
