sample,processing_time_ms,sensor_time_ms,raw,smoothed,frequency
0,1893,9082.0,3016.0,3014.8606,726.1818
1,1952,9132.0,3017.0,3013.4243,724.435
2,1971,9152.0,3020.0,3014.14,725.30524
3,1988,9172.0,3015.0,3014.272,725.46594
4,2003,9192.0,3016.0,3014.5374,725.78864
5,2020,9202.0,3016.0,3014.6543,725.9309
6,2037,9222.0,3016.0,3014.861,726.1824
7,2055,9242.0,3016.0,3015.036,726.395
8,2071,9252.0,3015.0,3015.033,726.3915
9,2088,9262.0,3007.0,3014.3904,725.6099
10,2104,9292.0,3017.0,3014.8264,726.14026
11,2122,9302.0,3016.0,3014.9204,726.2546
12,2137,9322.0,3016.0,3015.0127,726.36676
13,2155,9342.0,3015.0,3015.0107,726.36444
14,2171,9352.0,3016.0,3015.0898,726.4606
15,2188,9372.0,3016.0,3015.2295,726.63043
16,2205,9392.0,3016.0,3015.2742,726.68475
17,2221,9402.0,3016.0,3015.3323,726.7555
18,2239,9422.0,3014.0,3015.275,726.68567
19,2254,9442.0,3016.0,3015.3127,726.7317
20,2272,9452.0,3015.0,3015.2878,726.7014
21,2288,9472.0,3015.0,3015.17,726.55804
22,2304,9492.0,3016.0,3015.2974,726.713
23,2322,9502.0,3016.0,3015.3535,726.7813
24,2338,9522.0,3016.0,3015.453,726.90216
25,2354,9542.0,3016.0,3015.5369,727.0043
26,2371,9552.0,3016.0,3015.574,727.04944
27,2388,9572.0,2991.0,3012.9036,723.80164
28,2405,9582.0,3017.0,3013.2312,724.2001
29,2422,9602.0,3016.0,3013.6565,724.7174
30,2439,9622.0,3016.0,3014.0164,725.155
31,2454,9642.0,3019.0,3014.6348,725.90717
32,2471,9652.0,3018.0,3014.904,726.2347
33,2488,9672.0,3016.0,3015.0723,726.4393
34,2504,9692.0,3015.0,3015.282,726.69434
35,2522,9702.0,3016.0,3015.3394,726.76404
36,2538,9722.0,3016.0,3015.5144,726.977
37,2555,9742.0,3017.0,3015.5952,727.07526
38,2571,9752.0,3016.0,3015.6277,727.11475
39,2588,9772.0,3016.0,3015.6848,727.18427
40,2604,9792.0,3015.0,3015.653,727.1456
41,2622,9802.0,3017.0,3015.7607,727.2766
42,2639,9822.0,3016.0,3015.871,727.4108
43,2654,9832.0,3016.0,3015.8813,727.4232
44,2672,9852.0,3016.0,3015.8997,727.4455
45,2687,9872.0,3016.0,3015.915,727.46423
46,2705,9882.0,3016.0,3015.9219,727.47253
47,2722,9902.0,3015.0,3015.854,727.39
48,2739,9922.0,3016.0,3015.8765,727.41736
49,2755,9932.0,3016.0,3015.8862,727.4292
50,2771,9952.0,3004.0,3014.9436,726.2828
