sample,time_ms,raw,smoothed,frequency
0,639,2720.0,2717.61,364.66095
1,682,2708.0,2716.9,363.79718
2,703,2711.0,2716.66,363.5053
3,719,2717.0,2716.68,363.52963
4,735,2716.0,2716.87,363.76096
5,751,2721.0,2717.2,364.1621
6,769,2720.0,2717.63,364.685
7,783,2715.0,2717.42,364.42963
8,802,2720.0,2717.82,364.91632
9,819,2720.0,2718.23,365.41483
10,835,2720.0,2718.57,365.82846
11,852,2720.0,2718.69,365.97424
12,868,2719.0,2718.81,366.12033
13,884,2717.0,2718.75,366.0473
14,903,2707.0,2717.81,364.90414
15,917,2720.0,2718.96,366.30267
16,936,2720.0,2719.04,366.40005
17,953,2717.0,2717.77,364.85544
18,968,2717.0,2717.87,364.97717
19,985,2720.0,2718.04,365.18384
20,1003,2717.0,2718.1,365.25687
21,1018,2717.0,2718.16,365.32962
22,1035,2720.0,2718.3,365.50006
23,1050,2717.0,2718.4,365.6215
24,1067,2733.0,2719.83,367.3609
25,1086,2720.0,2719.84,367.37308
26,1101,2720.0,2719.87,367.4096
27,1119,2706.0,2718.77,366.07166
28,1136,2725.0,2719.27,366.67975
29,1152,2717.0,2719.14,366.52148
30,1169,2720.0,2719.27,366.67975
31,1185,2720.0,2719.33,366.7528
32,1200,2720.0,2719.43,366.87424
33,1220,2718.0,2718.92,366.25397
34,1234,2720.0,2719.0,366.35135
35,1253,2718.0,2719.07,366.43655
36,1266,2716.0,2718.83,366.14468
37,1283,2718.0,2718.63,365.9012
38,1302,2716.0,2718.52,365.76758
39,1317,2721.0,2718.72,366.0108
40,1335,2720.0,2718.91,366.2418
41,1351,2721.0,2719.16,366.54584
42,1369,2706.0,2718.11,365.26904
43,1385,2720.0,2718.77,366.07166
44,1403,2720.0,2718.96,366.30267
45,1417,2718.0,2718.88,366.20526
46,1436,2718.0,2718.89,366.21744
47,1450,2729.0,2719.7,367.20267
48,1470,2715.0,2719.05,366.41223
49,1486,2717.0,2718.81,366.12033
50,1502,2720.0,2718.91,366.2418
51,1519,2708.0,2718.11,365.26904
52,1534,2716.0,2717.79,364.8798
53,1553,2721.0,2718.05,365.196
54,1569,2720.0,2718.13,365.29312
55,1585,2720.0,2718.41,365.63367
56,1601,2717.0,2718.3,365.50006
57,1619,2721.0,2718.64,365.91336
58,1633,2720.0,2718.75,366.0473
59,1652,2720.0,2718.72,366.0108
60,1669,2718.0,2719.57,367.04468
61,1685,2717.0,2719.36,366.78934
62,1702,2720.0,2719.46,366.91077
63,1717,2718.0,2718.79,366.096
64,1737,2711.0,2718.26,365.45135
65,1751,2720.0,2718.4,365.6215
66,1767,2720.0,2718.64,365.91336
67,1786,2720.0,2718.75,366.0473
68,1801,2701.0,2717.2,364.1621
69,1819,2722.0,2717.43,364.4418
70,1835,2740.0,2719.23,366.63104
71,1850,2720.0,2719.35,366.77716
72,1870,2721.0,2719.53,366.996
73,1885,2720.0,2719.57,367.04468
74,1903,2728.0,2720.35,367.99338
75,1917,2720.0,2720.32,367.95685
76,1936,2717.0,2720.03,367.6041
77,1952,2720.0,2720.03,367.6041
78,1968,2707.0,2718.98,366.327
79,1985,2720.0,2719.43,366.87424
80,2002,2720.0,2719.52,366.98383
81,2018,2718.0,2719.4,366.8377
82,2035,2720.0,2718.68,365.96207
83,2050,2731.0,2719.76,367.2757
84,2067,2706.0,2718.66,365.9377
85,2085,2722.0,2719.03,366.38788
86,2102,2696.0,2717.26,364.23514
87,2118,2672.0,2713.64,359.8323
88,2136,2656.0,2705.15,349.50665
89,2152,2650.0,2697.12,339.74066
90,2169,2651.0,2693.43,335.25262
91,2186,2665.0,2688.18,328.8675
92,2202,2658.0,2685.77,325.93652
93,2219,2664.0,2682.28,321.69193
94,2236,2648.0,2678.19,316.7175
95,2252,2666.0,2677.21,315.52563
96,2268,2669.0,2675.73,313.72565
97,2286,2682.0,2675.74,313.73782
98,2303,2669.0,2675.2,313.08102
99,2319,2666.0,2673.93,311.53638
100,2336,2660.0,2672.68,310.0161
101,2352,2676.0,2672.94,310.33237
102,2369,2669.0,2671.67,308.78772
103,2386,2664.0,2670.5,307.36487
104,2403,2665.0,2670.06,306.8298
105,2419,2666.0,2669.58,306.24603
106,2436,2674.0,2670.11,306.8907
107,2451,2650.0,2668.5,304.93243
108,2469,2632.0,2663.26,298.55945
109,2485,2628.0,2660.44,295.12964
110,2502,2628.0,2656.05,289.7906
111,2519,2629.0,2651.97,284.82834
112,2536,2625.0,2649.81,282.20142
113,2551,2608.0,2644.05,275.19598
114,2567,2594.0,2636.29,265.75818
115,2587,2579.0,2631.71,260.1878
116,2602,2559.0,2622.45,248.92561
117,2619,2540.0,2610.74,234.68378
118,2635,2538.0,2604.92,227.60532
119,2652,2528.0,2593.99,214.31216
120,2669,2480.0,2578.03,194.9014
121,2685,2472.0,2569.55,184.58789
122,2702,2460.0,2551.62,162.78122
123,2717,2469.0,2545.01,154.74191
124,2735,2484.0,2534.16,141.54584
125,2753,2464.0,2524.56,129.87035
126,2767,2464.0,2519.72,123.98375
127,2786,2468.0,2511.7,114.22967
128,2802,2476.0,2506.51,107.91758
129,2817,2484.0,2504.71,105.72833
130,2834,2491.0,2502.09,102.542
131,2853,2513.0,2503.1,103.770386
132,2869,2509.0,2503.57,104.34197
133,2885,2508.0,2504.11,104.99878
134,2903,2506.0,2504.18,105.0837
135,2919,2528.0,2506.08,107.39469
136,2936,2506.0,2506.07,107.382515
137,2952,2498.0,2505.42,106.5918
138,2969,2457.0,2500.34,100.41362
139,2985,2440.0,2492.4,100.0
140,3002,2425.0,2487.01,100.0
141,3017,2438.0,2478.74,100.0
142,3036,2440.0,2472.79,100.0
143,3053,2432.0,2469.53,100.0
144,3069,2406.0,2460.21,100.0
145,3086,2418.0,2453.14,100.0
146,3102,2411.0,2449.77,100.0
147,3119,2389.0,2440.95,100.0
148,3135,2382.0,2431.9,100.0
149,3152,2379.0,2427.66,100.0
150,3169,2413.0,2424.16,100.0
151,3183,2404.0,2422.55,100.0
152,3200,2386.0,2419.29,100.0
153,3220,2327.0,2406.51,100.0
154,3236,2321.0,2399.67,100.0
155,3253,2323.0,2387.97,100.0
156,3267,2331.0,2378.7,100.0
157,3286,2364.0,2375.27,100.0
158,3302,2384.0,2375.97,100.0
159,3319,2424.0,2382.17,100.0
160,3335,2444.0,2387.11,100.0
161,3351,2480.0,2400.2,100.0
162,3369,2520.0,2416.98,100.0
163,3385,2539.0,2426.75,100.0
164,3403,2568.0,2447.78,100.0
165,3419,2595.0,2459.56,100.0
166,3436,2617.0,2482.49,100.0
167,3452,2645.0,2506.49,107.893234
168,3468,2657.0,2518.53,122.53652
169,3484,2681.0,2542.83,152.09064
170,3503,2704.0,2566.77,181.20679
171,3519,2714.0,2578.55,195.53384
172,3534,2728.0,2600.55,222.29059
173,3551,2733.0,2621.11,247.29608
174,3568,2729.0,2629.75,257.80405
175,3586,2674.0,2638.9,268.9323
176,3601,2637.0,2638.75,268.75
177,3619,2549.0,2628.42,256.1864
178,3636,2456.0,2605.18,227.92154
179,3653,2368.0,2571.69,187.19046
180,3668,2328.0,2552.19,163.47426
181,3686,2284.0,2512.47,115.16618
182,3701,2266.0,2492.75,100.0
183,3719,2248.0,2455.75,100.0
184,3735,2244.0,2423.3,100.0
185,3752,2249.0,2409.35,100.0
186,3769,2272.0,2387.37,100.0
187,3785,2308.0,2374.3,100.0
188,3803,2341.0,2371.63,100.0
189,3819,2384.0,2371.77,100.0
190,3834,2365.0,2371.23,100.0
191,3850,2304.0,2362.67,100.0
192,3867,2265.0,2349.65,100.0
193,3884,2240.0,2340.88,100.0
194,3900,2253.0,2325.91,100.0
195,3920,2308.0,2320.88,100.0
196,3936,2339.0,2322.33,100.0
197,3953,2408.0,2332.62,100.0
