sample,time_ms,raw,smoothed,frequency
0,927,2757,2755.31,410.51224
1,971,2757,2755.18,410.35397
2,991,2756,2755.16,410.32962
3,1004,2756,2755.23,410.41483
4,1024,2755,2755.19,410.36615
5,1041,2760,2755.71,410.9986
6,1057,2756,2755.73,411.02295
7,1073,2758,2755.86,411.1812
8,1089,2756,2755.88,411.20526
9,1107,2757,2755.97,411.31482
10,1123,2760,2756.15,411.53366
11,1140,2752,2755.51,410.75543
12,1157,2760,2755.87,411.1934
13,1173,2754,2755.73,411.02295
14,1191,2756,2755.77,411.07166
15,1206,2753,2755.55,410.8041
16,1225,2754,2755.31,410.51224
17,1239,2755,2755.29,410.48788
18,1257,2754,2755.24,410.427
19,1272,2754,2755.05,410.19598
20,1290,2755,2755.04,410.1838
21,1307,2757,2755.42,410.64584
22,1324,2758,2755.59,410.8528
23,1339,2753,2755.39,410.6093
24,1357,2760,2755.65,410.92557
25,1373,2755,2755.41,410.63367
26,1388,2756,2755.45,410.68237
27,1407,2756,2755.39,410.6093
28,1424,2754,2755.32,410.5244
29,1440,2757,2755.46,410.69455
30,1456,2755,2755.46,410.69455
31,1474,2756,2755.4,410.6215
32,1488,2754,2755.28,410.4757
33,1507,2760,2755.42,410.64584
34,1524,2755,2755.39,410.6093
35,1540,2756,2755.48,410.7189
36,1557,2756,2755.56,410.81628
37,1574,2756,2755.6,410.865
38,1590,2758,2755.89,411.21744
39,1606,2754,2755.75,411.0473
40,1623,2754,2755.61,410.87714
41,1639,2754,2755.36,410.57312
42,1657,2754,2755.3,410.50006
43,1674,2756,2755.35,410.56094
44,1690,2754,2755.37,410.58527
45,1705,2756,2755.42,410.64584
46,1725,2756,2755.65,410.92557
47,1740,2754,2755.4,410.6215
48,1755,2755,2755.37,410.58527
49,1774,2754,2755.31,410.51224
50,1789,2757,2755.2,410.3783
51,1807,2755,2754.95,410.07425
52,1824,2760,2755.35,410.56094
53,1840,2744,2754.49,409.51486
54,1855,2757,2754.69,409.75806
55,1872,2756,2754.75,409.8311
56,1891,2754,2754.78,409.8676
57,1906,2754,2754.72,409.79456
58,1924,2752,2754.59,409.6366
59,1940,2754,2754.65,409.70935
60,1955,2753,2754.52,409.5514
61,1974,2756,2754.45,409.46616
62,1991,2757,2754.62,409.67313
63,2006,2754,2754.57,409.61224
64,2024,2754,2754.63,409.685
65,2039,2760,2755.06,410.20816
66,2057,2754,2755.04,410.1838
67,2074,2755,2754.96,410.08643
68,2090,2754,2754.89,410.00122
69,2108,2754,2754.9,410.0134
70,2124,2756,2754.85,409.95282
71,2140,2754,2754.78,409.8676
72,2158,2755,2754.74,409.8189
73,2174,2755,2754.78,409.8676
74,2191,2754,2754.72,409.79456
75,2208,2752,2754.67,409.7337
76,2224,2753,2754.63,409.685
77,2239,2754,2754.58,409.62442
78,2257,2754,2754.49,409.51486
79,2272,2754,2754.45,409.46616
80,2291,2754,2754.75,409.8311
81,2307,2758,2755.1,410.2569
82,2324,2758,2755.34,410.54877
83,2341,2756,2755.81,411.12033
84,2355,2760,2756.14,411.52148
85,2374,2760,2756.37,411.80148
86,2391,2754,2756.44,411.8864
87,2408,2747,2755.51,410.75543
88,2424,2754,2755.39,410.6093
89,2440,2755,2755.4,410.6215
90,2455,2754,2755.29,410.48788
91,2475,2754,2755.31,410.51224
92,2491,2758,2755.28,410.4757
93,2508,2755,2755.31,410.51224
94,2524,2762,2755.85,411.16904
95,2540,2757,2755.66,410.93774
96,2557,2756,2756,411.35135
97,2574,2760,2756.32,411.74063
98,2590,2756,2756.27,411.67975
99,2608,2752,2755.99,411.33917
100,2622,2754,2755.83,411.14468
101,2641,2756,2755.63,410.9012
102,2657,2756,2755.66,410.93774
103,2673,2752,2755.25,410.43918
104,2689,2754,2755.15,410.31744
105,2707,2755,2755.2,410.3783
106,2723,2754,2755.01,410.1473
107,2740,2756,2755.09,410.24472
108,2756,2754,2755,410.13513
109,2772,2757,2755.24,410.427
110,2788,2752,2754.98,410.11078
111,2807,2754,2754.83,409.92847
112,2824,2753,2754.77,409.85544
113,2839,2755,2754.79,409.87976
114,2857,2754,2754.67,409.7337
115,2874,2758,2754.88,409.98904
116,2889,2754,2754.81,409.9041
117,2906,2755,2754.77,409.85544
118,2922,2756,2754.96,410.08643
119,2938,2754,2754.88,409.98904
120,2958,2760,2755.15,410.31744
121,2972,2754,2755.06,410.20816
122,2991,2756,2754.98,410.11078
123,3005,2754,2754.69,409.75806
124,3025,2757,2754.75,409.8311
125,3040,2757,2754.93,410.04993
126,3057,2755,2755.01,410.1473
127,3074,2756,2755.09,410.24472
128,3090,2756,2755.16,410.32962
129,3107,2756,2755.14,410.30527
130,3123,2754,2755.05,410.19598
131,3141,2755,2755.12,410.28122
132,3157,2754,2755.09,410.24472
133,3172,2755,2755.09,410.24472
134,3188,2755,2754.93,410.04993
135,3208,2756,2754.94,410.0621
136,3222,2752,2754.71,409.78238
137,3242,2754,2754.75,409.8311
138,3257,2756,2754.85,409.95282
139,3273,2757,2754.96,410.08643
140,3288,2756,2754.9,410.0134
141,3308,2757,2755.22,410.40265
142,3323,2758,2755.44,410.67023
143,3341,2758,2755.47,410.70673
144,3354,2754,2755.35,410.56094
145,3375,2754,2755.36,410.57312
146,3389,2753,2755.22,410.40265
147,3407,2756,2755.28,410.4757
148,3424,2759,2755.49,410.73108
149,3440,2755,2755.63,410.97424
150,3456,2760,2755.98,411.327
151,3475,2755,2755.9,411.2296
152,3490,2755,2755.83,411.14468
153,3508,2760,2755.88,411.20526
154,3522,2754,2755.59,410.8528
155,3539,2755,2755.55,410.8041
156,3556,2754,2755.38,410.59714
157,3573,2756,2755.33,410.5366
158,3591,2757,2755.51,410.75543
159,3608,2760,2755.87,411.1934
160,3624,2755,2755.81,411.12033
161,3639,2754,2755.67,410.94992
162,3655,2756,2755.72,411.01077
163,3674,2755,2755.75,411.0473
164,3691,2757,2755.85,411.16904
165,3706,2752,2755.41,410.63367
166,3724,2756,2755.43,410.65802
167,3741,2752,2755.15,410.31744
168,3757,2758,2755.44,410.67023
169,3774,2757,2755.57,410.82846
170,3790,2756,2755.56,410.81628
171,3808,2757,2755.85,411.16904
172,3822,2753,2755.63,410.9012
173,3839,2753,2755.15,410.31744
174,3856,2756,2755.28,410.4757
175,3874,2756,2755.34,410.54877
176,3890,2756,2755.22,410.40265
177,3908,2754,2755.18,410.35397
178,3924,2753,2755,410.13513
179,3940,2756,2755.01,410.1473
180,3958,2756,2754.94,410.0621
181,3972,2756,2755.03,410.17166
182,3991,2754,2755.02,410.1595
183,4007,2756,2755.02,410.1595
184,4024,2757,2755.18,410.35397
185,4040,2756,2755.08,410.23254
186,4057,2752,2754.84,409.94064
187,4074,2754,2754.86,409.965
188,4090,2757,2754.96,410.08643
189,4106,2758,2755.21,410.39047
190,4122,2754,2754.87,409.97717
191,4141,2754,2754.59,409.6366
192,4158,2758,2754.87,409.97717
193,4172,2752,2754.57,409.61224
194,4191,2754,2754.56,409.60007
195,4207,2754,2754.51,409.5392
196,4224,2754,2754.58,409.62442
197,4240,2754,2754.53,409.56357
198,4255,2754,2754.53,409.56357
199,4275,2760,2754.93,410.04993
200,4290,2754,2754.85,409.95282
201,4308,2757,2755.11,410.26907
202,4322,2754,2755.01,410.1473
203,4341,2754,2754.93,410.04993
204,4357,2754,2754.93,410.04993
205,4374,2754,2754.79,409.87976
206,4391,2756,2754.89,410.00122
207,4407,2756,2755.35,410.56094
208,4424,2756,2755.31,410.51224
209,4440,2757,2755.44,410.67023
210,4457,2755,2755.3,410.50006
211,4474,2758,2755.49,410.73108
212,4490,2756,2755.53,410.77975
213,4506,2754,2755.67,410.94992
214,4525,2760,2755.82,411.1325
215,4540,2756,2755.83,411.14468
216,4558,2756,2755.86,411.1812
217,4572,2760,2756.19,411.58234
218,4589,2760,2756.48,411.93512
219,4606,2755,2756.47,411.92294
220,4624,2756,2756.44,411.8864
221,4640,2754,2756.21,411.60672
222,4658,2749,2755.91,411.2418
223,4675,2755,2755.84,411.15686
224,4690,2754,2755.63,410.9012
225,4707,2756,2755.83,411.14468
226,4722,2754,2755.69,410.97424
227,4741,2757,2756.04,411.40005
228,4756,2754,2755.87,411.1934
229,4775,2756,2755.6,410.865
230,4790,2753,2755.42,410.64584
231,4808,2755,2755.39,410.6093
232,4823,2756,2755.77,411.07166
233,4841,2760,2756.13,411.5093
234,4857,2756,2756.12,411.49744
235,4874,2756,2756.1,411.4731
236,4890,2754,2755.85,411.16904
237,4907,2754,2755.7,410.98642
238,4924,2752,2755.43,410.65802
239,4939,2754,2755.31,410.51224
240,4958,2756,2755.42,410.64584
241,4974,2757,2755.88,411.20526
242,4989,2754,2755.73,411.02295
243,5007,2754,2755.39,410.6093
244,5024,2756,2755.49,410.73108
245,5041,2756,2755.53,410.77975
246,5057,2755,2755.45,410.68237
247,5074,2756,2755.61,410.87714
248,5089,2754,2755.48,410.7189
249,5107,2755,2755.62,410.8893
250,5123,2752,2755.36,410.57312
251,5141,2754,2755.25,410.43918
252,5157,2757,2755.45,410.68237
253,5172,2754,2755.23,410.41483
254,5191,2756,2755.29,410.48788
255,5206,2755,2755.32,410.5244
256,5225,2752,2754.95,410.07425
257,5241,2757,2755.12,410.28122
258,5255,2755,2755.03,410.17166
259,5274,2753,2754.94,410.0621
260,5290,2755,2754.94,410.0621
261,5308,2754,2754.94,410.0621
262,5323,2756,2755.03,410.17166
263,5338,2754,2754.87,409.97717
264,5355,2756,2755.41,410.63367
265,5372,2757,2755.54,410.79193
266,5391,2760,2755.93,411.26614
267,5407,2753,2755.41,410.63367
268,5422,2760,2755.77,411.07166
269,5441,2756,2755.81,411.12033
270,5457,2754,2755.53,410.77975
271,5473,2749,2755.01,410.1473
272,5491,2757,2755.24,410.427
273,5508,2758,2755.46,410.69455
274,5524,2754,2756.71,412.2148
